ID,Name,Lat,Lon
173,Torrey Pines,32.901867,-117.25046
174,Long Beach,33.798697,-118.09479
175,Palo Verde II,33.383697,-114.71921
176,La Quinta,33.685556,-116.30556
177,Watsonville West,36.9,-121.81311
178,Moraga,37.837614,-122.14074
179,Winchester,33.663325,-117.09338
180,Westmorland West,33.124167,-115.80333
181,Westmorland North,33.078611,-115.66056
182,Delano,35.833,-119.25596
183,Owens Lake North,36.488611,-117.91944
184,San Diego II,32.729578,-117.13934
185,UC-Mex,32.411111,-115.19722
186,UC-San Luis,32.492658,-114.82616
187,Black Point,38.090933,-122.5267
188,Madera II,37.02,-120.15
189,Owens Lake South,36.358628,-117.94387
190,Five Points South West,36.382028,-120.22985
191,Pleasanton,37.663969,-121.88503
192,Lake Arrowhead,34.255942,-117.21814
193,Pacific Grove,36.633222,-121.93486
194,Oakdale,37.727194,-120.85086
195,Auburn,38.887603,-121.10291
196,Esparto,38.691786,-122.01381
197,Palmdale,34.614981,-118.03249
198,Santa Paula,34.324639,-119.10488
199,Big Bear Lake,34.237419,-116.86571
200,Indio 2,33.748586,-116.2529
201,UC-Andrade,32.674353,-115.04438
202,Nipomo,35.028281,-120.56003
203,Alpaugh,35.862583,-119.50357
204,Santa Clarita,34.426361,-118.51758
205,Coalinga,36.175833,-120.36027
206,Denair II,37.545869,-120.75453
207,Borrego Springs,33.268447,-116.36505
208,La Quinta II,33.678186,-116.27299
209,Watsonville West II,36.913083,-121.82365
210,Carmel,36.540889,-121.88196
211,Gilroy,37.015026,-121.53704
212,Hastings Tract East,38.278056,-121.74111
213,El Cerrito,37.931539,-122.302714
214,Salinas South II,36.625619,-121.537889
215,Chatsworth,34.291331,-118.57004
216,Arleta,34.256111,-118.38278
217,Moorpark,34.269031,-118.849319
218,Thermal South,33.595694,-116.15811
219,West Hills,34.214197,-118.64477
220,Palmdale Central,34.592222,-118.1275
221,Cadiz Valley,34.513611,-115.51056
222,Gerber South,40.040006,-122.154539
223,North Hollywood,34.142911,-118.36632
224,Shasta College,40.63,-122.31
225,Scott Valley,41.577778,-122.838125
226,Woodland,38.672722,-121.81172
227,Plymouth,38.508333,-120.79972
228,Diamond Springs,38.636111,-120.79305
229,Laguna Seca,36.570111,-121.7865
230,Santa Barbara II,34.405556,-119.715
231,Lompoc,34.672222,-120.51306
232,Santa Maria II,34.913472,-120.46478
233,Joshua Tree,34.138147,-116.21319
234,Newberry Springs II,34.883472,-116.810247
235,Verona,38.797944,-121.61136
236,Macdoel II,41.802476,-121.996159
237,Temecula East III,33.55281,-117.043302
238,Moreno Valley,33.9,-117.17
239,Hemet,33.664747,-116.955121
240,Perris - Menifee,33.76,-117.2
241,San Clemente,33.4625,-117.586111
242,Staten Island,38.192397,-121.510261
243,Ryde,38.249622,-121.555528
244,Biggs,39.386632,-121.835278
245,Coto de Caza,33.621667,-117.585278
246,Markleeville,38.773409,-119.79193
247,Jersey Island,38.033386,-121.701247
248,Holt,37.932072,-121.396661
249,Ripon,37.755597,-121.266153
250,Williams,39.210667,-122.168889
251,Highland,34.112042,-117.1857
252,Soledad II,36.456728,-121.344388
253,Pescadero,37.255333,-122.3708
254,Oakland Metro,37.718167,-122.197111
255,Chino,33.98535,-117.656528
256,Lancaster,34.759475,-117.991997
257,Ridgecrest,35.661814,-117.640511
258,Lemon Cove,36.376917,-119.037972
259,Ferndale Plain,40.604467,-124.243186
260,Montague,41.798331,-122.463425
261,Gazelle,41.533989,-122.532279
262,Linden,38.065692,-121.071747
263,Smith River,41.894592,-124.165043
264,Sierra Valley Center,39.777452,-120.273609
265,Paso Robles,35.692266,-120.64855
266,Shandon,35.643787,-120.403229
267,Johnstonville,40.364578,-120.559397
268,Nubieber,41.105901,-121.165701
269,Los Banos II,37.108935,-120.797387
270,Tulare COS,36.189399,-119.285207
271,Pauma Valley,33.299583,-116.979719
272,Anderson,40.434911,-122.247425
273,WildHawk,38.479722,-121.314722
276,Cuyama North,34.967222,-119.716389
